id,date,sender,place,geo_sender,recipient,place,geo_recipient
"desc004/3183","1638-11-13","Beaune, Florimond de (1601-1652)","Blois (fr)","47.5876861, 1.3337639","Mersenne, Marin (1588-1648)","Paris (fr)","48.8566969, 2.3514616"
"desc004/3186","1638-12","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Huygens, Constantijn (1596-1687)","[Bergen op Zoom (nl)]","51.4965864, 4.289740797263708"
"huyg001/2009","1638-12-14","Puteanus, Erycius (1574-1646)","Leuven (be)","50.879202, 4.7011675","Huygens, Constantijn (1596-1687)","[Den Haag (nl)]","52.0799838, 4.3113461"
"huyg001/2014","1638-12-23","Huygens, Constantijn (1596-1687)","[Den Haag (nl)]","52.0799838, 4.3113461","Puteanus, Erycius (1574-1646)","[Leuven (be)]","50.879202, 4.7011675"
"desc004/3190","1639-01-09","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Mersenne, Marin (1588-1648)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/3191","1639-01-29","Descartes, René (1596-1650)","Santpoort (nl)","52.4193488, 4.6314176","Huygens, Constantijn (1596-1687)","?",
"desc004/3192","1639-02-09","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Mersenne, Marin (1588-1648)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/3193","1639-02-20","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Beaune, Florimond de (1601-1652)","?",
"desc004/3196","1639-03-19","Regius, Henricus (1598-1679)","Utrecht (nl)","52.080985600000005, 5.12768396945229","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176"
"desc004/3197","1639-04-03","Beaune, Florimond de (1601-1652)","Blois (fr)","47.5876861, 1.3337639","Mersenne, Marin (1588-1648)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/3198","1639-04-30","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Mersenne, Marin (1588-1648)","Paris (fr)","48.8566969, 2.3514616"
"desc004/3200","1639-05-06","Descartes, René (1596-1650)","Santpoort (nl)","52.4193488, 4.6314176","Huygens, Constantijn (1596-1687)","[Den Haag (nl)]","52.0799838, 4.3113461"
"desc004/3203","1639-05-17","Regius, Henricus (1598-1679)","Utrecht (nl)","52.080985600000005, 5.12768396945229","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176"
"desc004/3205","1639-06-06","Descartes, René (1596-1650)","Santpoort (nl)","52.4193488, 4.6314176","Huygens, Constantijn (1596-1687)","[Heerewaarden, Fort Voorne (nl)]","51.825548749999996, 5.409860880353969"
"desc004/3207","1639-06-19","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Mersenne, Marin (1588-1648)","Paris (fr)","48.8566969, 2.3514616"
"desc004/3208","1639-07-14","Regius, Henricus (1598-1679)","Utrecht (nl)","52.080985600000005, 5.12768396945229","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176"
"huyg001/2215","1639-08-26","Huygens, Constantijn (1596-1687)","Rheinberg (de)","51.5458979, 6.6014097","Mersenne, Marin (1588-1648)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/3209","1639-08-27","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Mersenne, Marin (1588-1648)","Paris (fr)","48.8566969, 2.3514616"
"desc004/3213","1639-10/1639-11","Regius, Henricus (1598-1679)","Utrecht (nl)","52.080985600000005, 5.12768396945229","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176"
"desc004/3212","1639-10-16","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Mersenne, Marin (1588-1648)","Paris (fr)","48.8566969, 2.3514616"
"desc004/3218bis","1639-11/1639-12","Verweij (fl. 1639)","[Leiden (nl)]","52.1518157, 4.4811088666204295","?","?",
"desc004/3215","1639-11-17","Descartes, René (1596-1650)","Santpoort (nl)","52.4193488, 4.6314176","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/3218","1639-11-26","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Surck, Anthonis van (1606-1666)","?",
"desc004/3217","1639-11-26","Descartes, René (1596-1650)","Santpoort (nl)","52.4193488, 4.6314176","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/3216","1639-11-28","Saumaise, Claude de (1588-1653)","Leiden (nl)","52.1518157, 4.4811088666204295","Descartes, René (1596-1650)","?",
"desc004/3219","1639-12-03","Regius, Henricus (1598-1679)","[Utrecht (nl)]","52.080985600000005, 5.12768396945229","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176"
"desc004/3220","1639-12-12","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/3222","1639-12-17","Descartes, René (1596-1650)","Santpoort (nl)","52.4193488, 4.6314176","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/3223","1639-12-20","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Surck, Anthonis van (1606-1666)","?",
"desc004/3224","1639-12-25","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Mersenne, Marin (1588-1648)","Paris (fr)","48.8566969, 2.3514616"
"desc004/4230","1640-01","Regius, Henricus (1598-1679)","Utrecht (nl)","52.080985600000005, 5.12768396945229","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176"
"desc004/4228","1640-01-03","Descartes, René (1596-1650)","Santpoort (nl)","52.4193488, 4.6314176","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/4229","1640-01-08","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461","Descartes, René (1596-1650)","Santpoort (nl)","52.4193488, 4.6314176"
"desc004/4231","1640-01-29","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Mersenne, Marin (1588-1648)","Paris (fr)","48.8566969, 2.3514616"
"desc004/4232","1640-01-29","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Meyssonnier, Lazare (1611-1673)","[Lyon (fr)]","45.7578137, 4.8320114"
"desc004/4233","1640-02-01","Descartes, René (1596-1650)","?",,"Waessenaer, Jacobus van (1607-1682)","Utrecht (nl)",
"desc004/4234","1640-02-08","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Hogelande, Cornelis van (1590-1662)","[Leiden (nl)]","52.1518157, 4.4811088666204295"
